FunctionName,Invocaciones
super-prod-getListadoUsuarios,358.0
agil-prod-acceptOrderOMS,347.0
common-prod-getPrefijosTelefonicos,347.0
aliados-13489AA-prod-get-coupon,345.0
admin-prod-createPlantillaCorreo,340.0
aliados-13489AA-prod-get-all-comercio-customers,330.0
admin-prod-deleteModificador,318.0
admin-prod-uploadImageComercioDiseno,318.0
aliados-13489AA-prod-creat-coupon,318.0
admin-prod-createAudienciaRegla,297.0
prod-socket-services-v1-prod-updateDeliveryTime_v1,295.0
admin-prod-createCampania,261.0
admin-prod-getAllSucursalComercio,248.0
super-prod-generarAjusteFinancieroReembolso,247.0
common-prod-refresh-all-pos,244.0
aliados-13489AA-prod-setStateCoupon,241.0
aliados-13489AA-prod-getDetailGroup,211.0
admin-prod-getAllShopMenu,210.0
admin-prod-getAllMailAutomatico,209.0
aliados-13489AA-prod-get-bases-importadas-comercio,208.0
admin-prod-getAllCategoriaConfiguracionShop,206.0
common-prod-getAllAudienciaReglas-v2,205.0
shop-app-prod-checkVersion,204.0
aliados-13489AA-prod-salebot-get-rule-by-type,204.0
admin-prod-getAllLinkShop,202.0
aliados-13489AA-prod-getProductsInsights,197.0
rider-prod-getCalificationTypes,195.0
shop-prod-heyAgil,195.0
admin-prod-createAudiencia,186.0
rider-prod-getWinChallenges,178.0
rider-prod-getCurrentChallenges,178.0
rider-prod-getChallenges,178.0
aliados-13489AA-prod-salebot-get,167.0
rider-prod-getRiderIncomeCurrentWeek,166.0
rider-prod-checkversion,162.0
prod-socket-services-v1-prod-forcedDeliveredOrder_v1,156.0
common-prod-trackEmailClick,154.0
auth-prod-logout,145.0
admin-prod-getOneUsuario,135.0
aliados-13489AA-prod-createGroup,134.0
agil-prod-getIntegracionByComerce,129.0
shop-prod-validate-address,112.0
aliados-13489AA-prod-salebot-create,111.0
pos-prod-getUsersWithPurchases,111.0
aliados-13489AA-prod-update-coupon,109.0
super-prod-GeozonasShop,109.0
aliados-13489AA-prod-salebot-update-estado,98.0
admin-prod-createUsuario,88.0
pos-prod-get-AllOrder-BySucursalV2,86.0
aliados-13489AA-prod-salebot-get-all-mail-design,85.0
aliados-13489AA-prod-salebot-get-stage-type,84.0
aliados-13489AA-prod-get-tipo-ejecuciones,84.0
admin-prod-v1DownloadProducts,81.0
pos-prod-getProductLog,78.0
admin-prod-getAllComercioConfiguracion,78.0
admin-prod-updateComercioConfiguracion,71.0
super-prod-getTarifas,65.0
shop-prod-getAllSucursalShopOptions,62.0
prod-socket-services-v1-prod-splitOrder_v1,60.0
common-prod-update-Cart-Status,58.0
rider-prod-obtenerZonasDisponibilidad,57.0
super-prod-GetMetodosPagoCentroNegocio,56.0
shop-prod-validateRefundPayment,56.0
prod-socket-services-v1-prod-getAllComerciobyCDN_v1,55.0
admin-prod-getAllShopPaginas,53.0
common-prod-validateSubDomain,52.0
pos-prod-updateProductoSucursal,52.0
super-prod-getRiderGeoZonasNearSucursal,51.0
admin-prod-enableUsuarioPerfil,49.0
aliados-13489AA-prod-send-test-mail,48.0
admin-prod-matchProductAndModify,46.0
admin-prod-getProgramaPuntos,43.0
admin-prod-createMailAutomatizacion,43.0
pos-prod-get-all-product,41.0
admin-prod-uploadCorreoImagen,40.0
prod-socket-services-v1-prod-exportBillingData_v1,40.0
shop-prod-syncCart,39.0
auth-prod-updateUsuario,39.0
aliados-13489AA-prod-updateStateGroup,39.0
common-prod-uploadFile,39.0
prod-socket-services-v1-prod-updtaePayMethod_v1,38.0
pos-prod-create-pedido,37.0
super-prod-v1GetIntegracionesComercio,36.0
agil-prod-getMenuOms,34.0
admin-prod-updateUsuario,33.0
pos-prod-getAllSucursalConfiguracion,33.0
agil-prod-getProductsAndModifierMatch,33.0
common-prod-UpdateCartEstate,33.0
super-prod-setTarifas,33.0
admin-prod-disableUsuarioPerfil,31.0
admin-prod-setProgramaPuntos,29.0
pos-prod-updateSucursalConfiguracion,29.0
agil-prod-cancelOrderOMS,28.0
common-prod-getBehaviourDW,28.0
common-prod-aprobarComercioInscripcion,27.0
admin-prod-deleteCampania,27.0
admin-prod-deleteUsuarioPerfil,24.0
aliados-13489AA-prod-getCouponUTM,22.0
admin-prod-deleteMailDiseno,21.0
shop-prod-saveMenuAyuda,19.0
pos-prod-get-default-etiquetas,19.0
aliados-13489AA-prod-salebot-update-rule-stage,16.0
aliados-13489AA-prod-pos-sucursal-get-config,14.0
super-prod-getFechasDepositoSucursal,13.0
shop-prod-initTransactionv2,13.0
super-prod-getAllPlanSucursal,12.0
aliados-13489AA-prod-salebot-get-all-funnel,12.0
admin-prod-getAllSucursalMesa,11.0
admin-prod-postProductAndModify,10.0
auth-prod-changePassword,10.0
shop-prod-genInitTransaction,10.0
rider-prod-addBankAccount,9.0
super-prod-resumenDepositoSucursal,9.0
super-prod-resumenFacturacionPorSucursal,8.0
super-prod-getFechasFacturacionSucursal,8.0
aliados-13489AA-prod-getProductInsights,8.0
admin-prod-getPuntosUsuario,7.0
super-prod-GetCentrosNegocio,7.0
rider-prod-getFaqs,6.0
rider-prod-getChallengesByDateRange,5.0
agil-prod-get-token,5.0
prod-socket-services-v1-prod-cancelTransfer_v1,5.0
super-prod-getComercioAnalytics,5.0
admin-prod-generateSucursalMesaQR,5.0
auth-prod-registerResendConfirmationCode,5.0
rider-prod-getCurrentBankAccount,4.0
super-prod-v1UpdateIntegracionSucursal,4.0
rider-prod-validateRider,4.0
agil-prod-setIntegracionData,4.0
super-prod-updateSucursalGeozonaRider,4.0
admin-prod-createShopMenu,4.0
rider-prod-getRiderBonus,4.0
rider-prod-forgotPassword,4.0
aliados-13489AA-prod-salebot-delete-etapa,4.0
aliados-13489AA-prod-cupon-get-cupon-audiencia,4.0
common-prod-getBaseMenuAyuda,4.0
super-prod-v1GetAllMarketplace,3.0
admin-prod-addPuntosBilletera,3.0
rider-prod-getBanks,3.0
admin-prod-updateSucursalShopOptions,3.0
rider-prod-getDefaultRegisterData,3.0
rider-prod-loginRider,3.0
aliados-13489AA-prod-market-get-sucursal-config,3.0
super-prod-getAllComercioSucursalesPlan,3.0
super-prod-resumenFacturacionSucursal,3.0
prod-socket-services-v1-prod-getTicket_v1,3.0
rider-prod-getAccountTypes,3.0
aliados-13489AA-prod-getAllProduct,2.0
super-prod-getAllChallenges,2.0
aliados-13489AA-prod-salebot-get-trigger-type-rule,2.0
admin-prod-updateSucursalMesaDeletedAt,2.0
super-prod-getAllLists,2.0
super-prod-getAllRiderSupport,2.0
pos-prod-getTickets,2.0
super-prod-detalleFacturacionSucursal,2.0
super-prod-getAccionesFacturacionSucursalLog,2.0
aliados-13489AA-prod-market-get-all-category,2.0
super-prod-getBasePromocionCargadas,1.0
super-prod-GetComerciosCentroNegocio,1.0
pos-prod-getDownloadLinkPOS,1.0
admin-prod-DeleteAudienciaRegla,1.0
aliados-13489AA-prod-setCouponUTM,1.0
pos-prod-getHistoryUsuarioCliente,1.0
admin-prod-createSucursalMesa,1.0
pos-prod-getLastPOSVersion,1.0
shop-app-qa-checkVersion,1.0
super-prod-getChallengeState,1.0
super-prod-getAllChallengesRules,1.0
pos-prod-resetPreparacionCocina,1.0
super-prod-getAllSucursalVersionPOS,1.0
super-prod-getAllPOSVersion,1.0
rider-prod-getRiderIncomeWeeks,1.0
super-prod-getComercioMetatags,1.0
super-prod-getAllCourierByComerceV2,1.0
admin-prod-getAllElemento,1.0
super-prod-SetCuentaBancariaCentroNegocio,0.0
super-prod-updateSucursalCupon,0.0
subtitles-back-dev-upload,0.0
shop-prod-postLongLivedTokenPageByComerce,0.0
super-prod-updateSucursalCuponUTMParams,0.0
aliados-13489AA-prod-create-audiencia-importada,0.0
pos-prod-usuarios-perfil-sucursal,0.0
super-prod-AddComercioCentroNegocio,0.0
agil-prod-createProductIntegrador,0.0
shop-prod-post-facebook-webhook,0.0
common-prod-ac-create-tag,0.0
super-prod-createRiderGeoZonaDisponibilidad,0.0
prod-socket-services-v1-prod-trakingDelivery_v1,0.0
prod-socket-services-prod-closeOrder,0.0
rider-prod-getRiderIncomeByDate,0.0
super-prod-savePlanSucursalPrivilegios,0.0
shop-prod-receiveChekNotification,0.0
prod-socket-services-prod-deleteEventOrder,0.0
super-prod-getAllChallengesExport,0.0
aliados-13489AA-prod-market-create-product,0.0
prod-socket-services-prod-pusherWebhookEvents,0.0
aliados-13489AA-prod-market-update-create-products,0.0
prod-socket-services-v1-prod-getOrderCouriers_v1,0.0
super-prod-register-domain,0.0
admin-prod-get-all-usuario-audiencia-regla-v2,0.0
admin-prod-deleteSucursalCuponHorario,0.0
super-prod-updateRiderGeoZonaDisponibilidad,0.0
market-prod-getProductsBySearch,0.0
lince-prod-getAllElementoComercio,0.0
rider-prod-changePasswordRider,0.0
super-prod-getAllLogCartV2,0.0
agil-prod-createOrderFacturacion,0.0
admin-prod-createElemento,0.0
common-prod-deals-webhook-ac,0.0
aliados-13489AA-prod-salebot-register-event,0.0
prod-socket-services-v1-prod-custom-resource-apigw-cw-role,0.0
pos-prod-emitNewOrder,0.0
market-prod-getProductDetail,0.0
prod-socket-services-prod-webhookAcceptOrder,0.0
super-prod-v1-signShopDomain,0.0
shop-prod-receiveFlowNotification,0.0
super-prod-changeDeletedAtRiderGeoZonaDisponibilidad,0.0
prod-socket-services-prod-changeStatusDelivery,0.0
prod-socket-services-prod-custom-resource-apigw-cw-role,0.0
admin-prod-getAllShopComponent,0.0
super-prod-get-list-domain,0.0
agil-prod-markAsPreparedOrderOMS,0.0
pos-prod-updateSucursalNotificacionLeido,0.0
common-prod-unSubscribeProvider,0.0
super-prod-getAllComercioCupones,0.0
super-prod-v1-deleteShopDomainAsync,0.0
agil-prod-send-order-webhook-async,0.0
lince-prod-createInspeccion,0.0
aliados-13489AA-prod-get-tipo-stopper,0.0
shop-prod-validateInscriptions,0.0
common-prod-setUserHelp,0.0
rider-prod-takeOrder,0.0
prod-socket-services-prod-splitOrder,0.0
admin-prod-deleteComponentePagina,0.0
rider-prod-updateRiderToken,0.0
super-prod-upload-invoice-file,0.0
prod-socket-services-prod-generateTransfer,0.0
amplify-login-define-auth-challenge-afa65742,0.0
admin-prod-updateTrabajador,0.0
admin-prod-deleteShopMenu,0.0
